code,current,name,name_short,gender,country_code,country,events,birth_country,other_sports,medal_type,year
1935786,True,PETISCO Alba,PETISCO A,Female,ESP,Spain,"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",Spain,,,2024
1935787,True,PLATA Joel,PLATA J,Male,ESP,Spain,"['Men', ""Men's All-Around"", ""Men's Floor Exercise"", ""Men's Horizontal Bar"", ""Men's Parallel Bars"", ""Men's Pommel Horse"", ""Men's Rings"", ""Men's Vault"", ""Men's Team""]",Spain,,,2024
1935792,True,ZAPATA Rayderley,ZAPATA R,Male,ESP,Spain,"['Men', ""Men's Floor Exercise"", ""Men's Horizontal Bar"", ""Men's Parallel Bars"", ""Men's Pommel Horse"", ""Men's Rings"", ""Men's Vault"", ""Men's Team""]",Dominican Republic,,,2024
1935793,True,ARNAU CAMARENA Ana,ARNAU CAMARENA A,Female,ESP,Spain,['Group All-Around'],Spain,,,2024
1935794,True,BAUTISTA Alba,BAUTISTA A,Female,ESP,Spain,['Individual All-Around'],Spain,,,2024
1935795,True,BEREZINA Polina,BEREZINA P,Female,ESP,Spain,['Individual All-Around'],Russian Federation,,,2024
1935796,True,BERGUA NAVALES Ines,BERGUA NAVALES I,Female,ESP,Spain,['Group All-Around'],Spain,,,2024
1935805,True,MARTINEZ Mireia,MARTINEZ M,Female,ESP,Spain,['Group All-Around'],Spain,,,2024
1935808,True,PEREZ FOS Patricia,PEREZ FOS P,Female,ESP,Spain,['Group All-Around'],Spain,,,2024
1935810,True,SOLAUN Salma,SOLAUN S,Female,ESP,Spain,['Group All-Around'],Spain,,,2024
1935817,True,ROMERO ROSARIO Noemi,ROMERO ROSARIO N,Female,ESP,Spain,['Women'],Spain,,,2024
1935820,True,VEGA David,VEGA D,Male,ESP,Spain,['Men'],Spain,,,2024
1935860,True,WEITZEIL Abbey,WEITZEIL A,Female,USA,United States,"[""Women's 4 x 100m Freestyle Relay"", 'Relay Only Athlete', 'Mixed 4 x 100m Medley Relay']",United States,,Silver,2024
