year,discipline_id,discipline_name,athletes,prev_athletes,growth,pct_growth
1992,43,Fencing,306,320,4294967282,13421772.75625
1996,43,Fencing,224,306,4294967214,14035840.56862745
2000,43,Fencing,217,224,4294967289,19173961.11160714
2004,43,Fencing,223,217,6,0.027649769585253458
2008,43,Fencing,234,223,11,0.04932735426008968
2012,43,Fencing,244,234,10,0.042735042735042736
2016,43,Fencing,246,244,2,0.00819672131147541
2020,43,Fencing,264,246,18,0.07317073170731707
1896,44,Wrestling,5,,,
1904,44,Wrestling,42,5,37,7.4
1908,44,Wrestling,115,42,73,1.7380952380952381
1912,44,Wrestling,170,115,55,0.4782608695652174
1920,44,Wrestling,152,170,4294967278,25264513.4
1924,44,Wrestling,229,152,77,0.506578947368421
1928,44,Wrestling,166,229,4294967233,18755315.4279476
1932,44,Wrestling,79,166,4294967209,25873296.439759035
1936,44,Wrestling,200,79,121,1.5316455696202531
1948,44,Wrestling,219,200,19,0.095
1952,44,Wrestling,244,219,25,0.1141552511415525
1956,44,Wrestling,173,244,4294967225,17602324.692622952
1960,44,Wrestling,324,173,151,0.8728323699421965
1964,44,Wrestling,275,324,4294967247,13256071.75
1968,44,Wrestling,297,275,22,0.08
1972,44,Wrestling,388,297,91,0.3063973063973064
1976,44,Wrestling,330,388,4294967238,11069503.19072165
1980,44,Wrestling,266,330,4294967232,13015052.218181819
1984,44,Wrestling,267,266,1,0.0037593984962406013
1988,44,Wrestling,429,267,162,0.6067415730337079
1992,44,Wrestling,370,429,4294967237,10011578.641025642
1996,44,Wrestling,401,370,31,0.08378378378378379
2000,44,Wrestling,314,401,4294967209,10710641.418952618
2004,44,Wrestling,342,314,28,0.08917197452229299
2008,44,Wrestling,343,342,1,0.0029239766081871343
2012,44,Wrestling,343,343,0,0.0
2016,44,Wrestling,347,343,4,0.011661807580174927
2020,44,Wrestling,289,347,4294967238,12377427.198847262
1896,45,Cycling Track,16,,,
1900,45,Cycling Track,194,16,178,11.125
1904,45,Cycling Track,36,194,4294967138,22139005.86597938
1908,45,Cycling Track,97,36,61,1.6944444444444444
1920,45,Cycling Track,66,97,4294967265,44278013.041237116
1924,45,Cycling Track,80,66,14,0.21212121212121213
1928,45,Cycling Track,81,80,1,0.0125
1932,45,Cycling Track,39,81,4294967254,53024287.086419754
1936,45,Cycling Track,94,39,55,1.4102564102564104
1948,45,Cycling Track,105,94,11,0.11702127659574468
1952,45,Cycling Track,135,105,30,0.2857142857142857
1956,45,Cycling Track,106,135,4294967267,31814572.34814815
1960,45,Cycling Track,137,106,31,0.29245283018867924
1964,45,Cycling Track,141,137,4,0.029197080291970802
1968,45,Cycling Track,164,141,23,0.16312056737588654
1972,45,Cycling Track,166,164,2,0.012195121951219513
1976,45,Cycling Track,121,166,4294967251,25873296.692771085
1980,45,Cycling Track,79,121,4294967254,35495597.14049587
1984,45,Cycling Track,132,79,53,0.6708860759493671
1988,45,Cycling Track,171,132,39,0.29545454545454547
1992,45,Cycling Track,195,171,24,0.14035087719298245
1996,45,Cycling Track,179,195,4294967280,22025473.230769232
2000,45,Cycling Track,180,179,1,0.00558659217877095
2004,45,Cycling Track,180,180,0,0.0
2008,45,Cycling Track,176,180,4294967292,23860929.4
2012,45,Cycling Track,173,176,4294967293,24403223.255681816
2016,45,Cycling Track,181,173,8,0.046242774566473986
2020,45,Cycling Track,195,181,14,0.07734806629834254
1896,46,Cycling Road,23,,,
1912,46,Cycling Road,123,23,100,4.3478260869565215
1920,46,Cycling Road,46,123,4294967219,34918432.674796745
1924,46,Cycling Road,71,46,25,0.5434782608695652
1928,46,Cycling Road,75,71,4,0.056338028169014086
1932,46,Cycling Road,36,75,4294967257,57266230.093333334
1936,46,Cycling Road,126,36,90,2.5
1948,46,Cycling Road,101,126,4294967271,34087041.833333336
1952,46,Cycling Road,111,101,10,0.09900990099009901
1956,46,Cycling Road,88,111,4294967273,38693398.85585585
1960,46,Cycling Road,173,88,85,0.9659090909090909
1964,46,Cycling Road,182,173,9,0.05202312138728324
1968,46,Cycling Road,195,182,13,0.07142857142857142
1972,46,Cycling Road,217,195,22,0.11282051282051282
1976,46,Cycling Road,184,217,4294967263,19792475.866359446
1980,46,Cycling Road,156,184,4294967268,23342213.413043477
1984,46,Cycling Road,233,156,77,0.4935897435897436
1988,46,Cycling Road,265,233,32,0.13733905579399142
1992,46,Cycling Road,283,265,18,0.06792452830188679
1996,46,Cycling Road,248,283,4294967261,15176562.759717314
2000,46,Cycling Road,218,248,4294967266,17318416.39516129
2004,46,Cycling Road,213,218,4294967291,19701684.821100917
2008,46,Cycling Road,211,213,4294967294,20164165.699530516
2012,46,Cycling Road,210,211,4294967295,20355295.236966826
2016,46,Cycling Road,212,210,2,0.009523809523809525
2020,46,Cycling Road,201,212,4294967285,20259279.646226414
1996,47,Cycling Mountain Bike,72,,,
2000,47,Cycling Mountain Bike,79,72,7,0.09722222222222222
2004,47,Cycling Mountain Bike,80,79,1,0.012658227848101266
2008,47,Cycling Mountain Bike,80,80,0,0.0
2012,47,Cycling Mountain Bike,80,80,0,0.0
2016,47,Cycling Mountain Bike,78,80,4294967294,53687091.175
2020,47,Cycling Mountain Bike,76,78,4294967294,55063683.256410256
1900,48,Rowing,217,,,
1904,48,Rowing,96,217,4294967175,19792475.460829493
1908,48,Rowing,99,96,3,0.03125
1912,48,Rowing,190,99,91,0.9191919191919192
1920,48,Rowing,138,190,4294967244,22605090.757894736
1924,48,Rowing,258,138,120,0.8695652173913043
1928,48,Rowing,290,258,32,0.12403100775193798
1932,48,Rowing,171,290,4294967177,14810231.644827586
1936,48,Rowing,365,171,194,1.1345029239766082
1948,48,Rowing,312,365,4294967243,11767033.542465754
1952,48,Rowing,404,312,92,0.2948717948717949
1956,48,Rowing,242,404,4294967134,10631106.767326733
1960,48,Rowing,420,242,178,0.7355371900826446
1964,48,Rowing,370,420,4294967246,10226112.490476191
1968,48,Rowing,353,370,4294967279,11608019.672972973
1972,48,Rowing,440,353,87,0.24645892351274787
1976,48,Rowing,593,440,153,0.3477272727272727
1980,48,Rowing,470,593,4294967173,7242777.694772344
1984,48,Rowing,447,470,4294967273,9138228.240425533
1988,48,Rowing,595,447,148,0.33109619686800895
1992,48,Rowing,628,595,33,0.05546218487394958
1996,48,Rowing,608,628,4294967276,6839119.866242038
2000,48,Rowing,548,608,4294967236,7064090.84868421
2004,48,Rowing,558,548,10,0.01824817518248175
2008,48,Rowing,555,558,4294967293,7697074.001792115
2012,48,Rowing,549,555,4294967290,7738679.801801802
2016,48,Rowing,546,549,4294967293,7823255.5428051
2020,48,Rowing,523,546,4294967273,7866240.426739926
1912,49,Equestrian Eventing,27,,,
1920,49,Equestrian Eventing,25,27,4294967294,159072862.74074075
1924,49,Equestrian Eventing,44,25,19,0.76
1928,49,Equestrian Eventing,46,44,2,0.045454545454545456
1932,49,Equestrian Eventing,14,46,4294967264,93368853.56521739
1936,49,Equestrian Eventing,50,14,36,2.5714285714285716
1948,49,Equestrian Eventing,45,50,4294967291,85899345.82
1952,49,Equestrian Eventing,59,45,14,0.3111111111111111
1956,49,Equestrian Eventing,57,59,4294967294,72796055.83050847
1960,49,Equestrian Eventing,73,57,16,0.2807017543859649
1964,49,Equestrian Eventing,48,73,4294967271,58835168.09589041
1968,49,Equestrian Eventing,49,48,1,0.020833333333333332
1972,49,Equestrian Eventing,73,49,24,0.4897959183673469
1976,49,Equestrian Eventing,49,73,4294967272,58835168.10958904
1980,49,Equestrian Eventing,28,49,4294967275,87652393.36734694
1984,49,Equestrian Eventing,48,28,20,0.7142857142857143
1988,49,Equestrian Eventing,50,48,2,0.041666666666666664
1992,49,Equestrian Eventing,82,50,32,0.64
1996,49,Equestrian Eventing,88,82,6,0.07317073170731707
2000,49,Equestrian Eventing,74,88,4294967282,48806446.38636363
2004,49,Equestrian Eventing,75,74,1,0.013513513513513514
2008,49,Equestrian Eventing,69,75,4294967290,57266230.53333333
2012,49,Equestrian Eventing,74,69,5,0.07246376811594203
2016,49,Equestrian Eventing,65,74,4294967287,58040098.472972974
2020,49,Equestrian Eventing,75,65,10,0.15384615384615385
1900,50,Equestrian Dressage,25,,,
1912,50,Equestrian Dressage,21,25,4294967292,171798691.68
1920,50,Equestrian Dressage,17,21,4294967292,204522252.0
1924,50,Equestrian Dressage,24,17,7,0.4117647058823529
1928,50,Equestrian Dressage,29,24,5,0.20833333333333334
1932,50,Equestrian Dressage,10,29,4294967277,148102319.89655173
1936,50,Equestrian Dressage,29,10,19,1.9
1948,50,Equestrian Dressage,19,29,4294967286,148102320.20689654
1952,50,Equestrian Dressage,27,19,8,0.42105263157894735
1956,50,Equestrian Dressage,36,27,9,0.3333333333333333
1960,50,Equestrian Dressage,17,36,4294967277,119304646.58333333
1964,50,Equestrian Dressage,22,17,5,0.29411764705882354
1968,50,Equestrian Dressage,26,22,4,0.18181818181818182
1972,50,Equestrian Dressage,33,26,7,0.2692307692307692
1976,50,Equestrian Dressage,27,33,4294967290,130150523.93939394
1980,50,Equestrian Dressage,14,27,4294967283,159072862.33333334
1984,50,Equestrian Dressage,43,14,29,2.0714285714285716
1988,50,Equestrian Dressage,53,43,10,0.23255813953488372
1992,50,Equestrian Dressage,48,53,4294967291,81037118.6981132
1996,50,Equestrian Dressage,49,48,1,0.020833333333333332
2000,50,Equestrian Dressage,47,49,4294967294,87652393.75510204
2004,50,Equestrian Dressage,51,47,4,0.0851063829787234
2008,50,Equestrian Dressage,47,51,4294967292,84215044.94117647
2012,50,Equestrian Dressage,50,47,3,0.06382978723404255
2016,50,Equestrian Dressage,60,50,10,0.2
2020,50,Equestrian Dressage,69,60,9,0.15
1900,51,Equestrian Jumping,29,,,
1912,51,Equestrian Jumping,40,29,11,0.3793103448275862
1920,51,Equestrian Jumping,45,40,5,0.125
1924,51,Equestrian Jumping,43,45,4294967294,95443717.64444445
1928,51,Equestrian Jumping,46,43,3,0.06976744186046512
1932,51,Equestrian Jumping,11,46,4294967261,93368853.5
1936,51,Equestrian Jumping,54,11,43,3.909090909090909
1948,51,Equestrian Jumping,44,54,4294967286,79536431.22222222
1952,51,Equestrian Jumping,51,44,7,0.1590909090909091
1956,51,Equestrian Jumping,66,51,15,0.29411764705882354
1960,51,Equestrian Jumping,69,66,3,0.045454545454545456
1964,51,Equestrian Jumping,46,69,4294967273,62245902.507246375
1968,51,Equestrian Jumping,50,46,4,0.08695652173913043
1972,51,Equestrian Jumping,74,50,24,0.48
1976,51,Equestrian Jumping,60,74,4294967282,58040098.4054054
1980,51,Equestrian Jumping,26,60,4294967262,71582787.7
1984,51,Equestrian Jumping,66,26,40,1.5384615384615385
1988,51,Equestrian Jumping,80,66,14,0.21212121212121213
1992,51,Equestrian Jumping,87,80,7,0.0875
1996,51,Equestrian Jumping,82,87,4294967291,49367440.126436785
2000,51,Equestrian Jumping,74,82,4294967288,52377649.853658535
2004,51,Equestrian Jumping,77,74,3,0.04054054054054054
2008,51,Equestrian Jumping,77,77,0,0.0
2012,51,Equestrian Jumping,75,77,4294967294,55778796.02597403
2016,51,Equestrian Jumping,75,75,0,0.0
2020,51,Equestrian Jumping,91,75,16,0.21333333333333335
1924,52,Canoe Sprint,8,,,
1936,52,Canoe Sprint,53,8,45,5.625
1948,52,Canoe Sprint,78,53,25,0.4716981132075472
1952,52,Canoe Sprint,103,78,25,0.32051282051282054
1956,52,Canoe Sprint,81,103,4294967274,41698711.39805825
1960,52,Canoe Sprint,174,81,93,1.1481481481481481
1964,52,Canoe Sprint,146,174,4294967268,24683719.931034483
1968,52,Canoe Sprint,184,146,38,0.2602739726027397
1972,52,Canoe Sprint,209,184,25,0.1358695652173913
1976,52,Canoe Sprint,245,209,36,0.1722488038277512
1980,52,Canoe Sprint,190,245,4294967241,17530478.53469388
1984,52,Canoe Sprint,195,190,5,0.02631578947368421
1988,52,Canoe Sprint,275,195,80,0.41025641025641024
1992,52,Canoe Sprint,305,275,30,0.10909090909090909
1996,52,Canoe Sprint,317,305,12,0.03934426229508197
2000,52,Canoe Sprint,247,317,4294967226,13548792.51104101
2004,52,Canoe Sprint,244,247,4294967293,17388531.550607286
2008,52,Canoe Sprint,248,244,4,0.01639344262295082
2012,52,Canoe Sprint,249,248,1,0.004032258064516129
2016,52,Canoe Sprint,247,249,4294967294,17248864.63453815
2020,52,Canoe Sprint,248,247,1,0.004048582995951417
1972,53,Canoe Slalom,121,,,
1992,53,Canoe Slalom,135,121,14,0.11570247933884298
1996,53,Canoe Slalom,134,135,4294967295,31814572.555555556
2000,53,Canoe Slalom,83,134,4294967245,32051994.365671642
2004,53,Canoe Slalom,84,83,1,0.012048192771084338
2008,53,Canoe Slalom,82,84,4294967294,51130563.02380952
2012,53,Canoe Slalom,83,82,1,0.012195121951219513
2016,53,Canoe Slalom,83,83,0,0.0
2020,53,Canoe Slalom,82,83,4294967295,51746593.915662654
2008,54,Cycling BMX Racing,48,,,
2012,54,Cycling BMX Racing,48,48,0,0.0
2016,54,Cycling BMX Racing,48,48,0,0.0
2020,54,Cycling BMX Racing,48,48,0,0.0
2008,55,Marathon Swimming,50,,,
2012,55,Marathon Swimming,50,50,0,0.0
2016,55,Marathon Swimming,51,50,1,0.02
2020,55,Marathon Swimming,51,51,0,0.0
1900,56,Golf,39,,,
1904,56,Golf,109,39,70,1.794871794871795
2016,56,Golf,120,109,11,0.10091743119266056
2020,56,Golf,120,120,0,0.0
2016,57,Rugby Sevens,300,,,
2020,57,Rugby Sevens,312,300,12,0.04
1988,58,Bowling,24,,,
1900,59,Basque pelota,10,,,
1924,59,Basque pelota,20,10,10,1.0
1968,59,Basque pelota,73,20,53,2.65
1992,59,Basque pelota,121,73,48,0.6575342465753424
1992,60,Roller Hockey,120,,,
2008,61,Wushu,121,,,
1992,62,Speed Skiing,65,,,
2020,63,3x3 Basketball,64,,,
2020,64,Cycling BMX Freestyle,18,,,
2020,65,Karate,81,,,
2020,66,Sport Climbing,40,,,
2020,67,Skateboarding,80,,,
2020,68,Surfing,40,,,
1924,70,Military Ski Patrol,24,,,
1928,70,Military Ski Patrol,36,24,12,0.5
1936,70,Military Ski Patrol,36,36,0,0.0
1948,70,Military Ski Patrol,32,36,4294967292,119304647.0
1908,71,Jeu De Paume,11,,,
1900,72,Tug-Of-War,12,,,
1904,72,Tug-Of-War,30,12,18,1.5
1908,72,Tug-Of-War,40,30,10,0.3333333333333333
1912,72,Tug-Of-War,16,40,4294967272,107374181.8
1920,72,Tug-Of-War,41,16,25,1.5625
1904,73,Roque,4,,,
1908,74,Racquets,10,,,
1900,75,Polo,34,,,
1908,75,Polo,12,34,4294967274,126322566.88235295
1920,75,Polo,17,12,5,0.4166666666666667
1924,75,Polo,25,17,8,0.47058823529411764
1936,75,Polo,21,25,4294967292,171798691.68
1900,76,Croquet,10,,,
1900,77,Motorboating,21,,,
1908,77,Motorboating,14,21,4294967289,204522251.85714287
1900,78,Equestrian Driving,29,,,
1920,79,Equestrian Vaulting,17,,,
1936,80,Canoe Marathon,88,,,
1948,80,Canoe Marathon,64,88,4294967272,48806446.27272727
1952,80,Canoe Marathon,81,64,17,0.265625
1956,80,Canoe Marathon,64,81,4294967279,53024287.39506173
1912,81,Art Competitions,33,,,
1920,81,Art Competitions,11,33,4294967274,130150523.45454545
1924,81,Art Competitions,183,11,172,15.636363636363637
1928,81,Art Competitions,410,183,227,1.2404371584699454
1932,81,Art Competitions,577,410,167,0.4073170731707317
1936,81,Art Competitions,506,577,4294967225,7443617.374350087
1948,81,Art Competitions,326,506,4294967116,8488077.304347826
1952,81,Art Competitions,157,326,4294967127,13174745.788343558
1908,82,Bicycle Polo,9,,,
1908,83,Glíma,5,,,
1912,83,Glíma,6,5,1,0.2
1920,84,Korfball,24,,,
1928,84,Korfball,24,24,0,0.0
1924,85,Canne De Combat,2,,,
1928,86,Kaatsen,6,,,
1904,87,Lacrosse,36,,,
1908,87,Lacrosse,27,36,4294967287,119304646.8611111
1928,87,Lacrosse,43,27,16,0.5925925925925926
1932,87,Lacrosse,28,43,4294967281,99882960.02325581
1948,87,Lacrosse,37,28,9,0.32142857142857145
1904,88,American Football,173,,,
1932,88,American Football,40,173,4294967163,24826399.78612717
1936,89,Gliding,20,,,
1952,90,Pesäpallo,24,,,
1956,91,Australian Rules Football,46,,,
1972,92,Waterskiing,32,,,
1924,93,Savate,20,,,
1928,94,Skijoring,7,,,
1932,95,Dogsled Racing,13,,,
1936,96,Ice Stock Sport,146,,,
1964,96,Ice Stock Sport,93,146,4294967243,29417583.856164385
1948,97,Winter Pentathlon,14,,,
1952,98,Bandy,39,,,
1900,99,Automobile Racing,26,,,
1900,100,Motorcycle Sports,23,,,
1900,101,Ballooning,64,,,
1900,102,Boules,12,,,
1900,103,Fishing,12,,,
1900,104,Lifesaving,10,,,
1900,105,Firefighting,65,,,
1900,106,Longue Paume,9,,,
1900,107,Military Exercise,113,,,
1964,108,Kendo,51,,,
1900,109,Cricket,34,,,
1900,110,Rugby,47,,,
1908,110,Rugby,48,47,1,0.02127659574468085
1920,110,Rugby,40,48,4294967288,89478485.16666667
1924,110,Rugby,76,40,36,0.9
1924,111,Alpinism,21,,,
1932,111,Alpinism,2,21,4294967277,204522251.2857143
1936,111,Alpinism,2,2,0,0.0
1936,112,Aeronautics,1,,,
