code,current,name,name_short,name_tv,gender,function,country_code,country,nickname,medal_type,event,team,year,season
1964053,True,DIEGO MARIANO LANCI Arthur,DIEGO MARIANO LAN,Arthur DIEGO MARIANO LANCI,Male,Athlete,BRA,Brazil,,,,,2024,Summer
1964058,True,SILVA RAMOS Ana Patricia,SILVA RAMOS AP,Ana Patricia SILVA RAMOS,Female,Athlete,BRA,Brazil,,Gold,Women,Ana Patricia/Duda,2024,Summer
1964063,True,da SILVA Ana Carolina,da SILVA AC,CAROL,Female,Athlete,BRA,Brazil,Carol,Bronze,Women,Brazil,2024,Summer
1964064,True,SOUZA Alan,SOUZA A,ALAN,Male,Athlete,BRA,Brazil,,,,,2024,Summer
1964065,True,MENEZES OLIVEIRA de SOUZA Ana Cris,MENEZES OLIVEIRA ,ANA CRISTINA,Female,Athlete,BRA,Brazil,,Bronze,Women,Brazil,2024,Summer
1964066,True,LOYOLA STEIN Andre,LOYOLA STEIN A,Andre LOYOLA STEIN,Male,Athlete,BRA,Brazil,,,,,2024,Summer
1964067,True,SEIXAS de FREITAS Barbara,SEIXAS de FREITAS,Barbara SEIXAS de FREITAS,Female,Athlete,BRA,Brazil,,,,,2024,Summer
1964069,True,REZENDE Bruno Mossa,REZENDE BM,BRUNO,Male,Athlete,BRA,Brazil,Bruninho,,,,2024,Summer
1964075,True,SOLBERG SALGADO Carolina,SOLBERG SALGADO C,Carolina SOLBERG SALGADO,Female,Athlete,BRA,Brazil,Carol,,,,2024,Summer
1964076,True,DUARTE ALECRIM Diana,DUARTE ALECRIM D,DIANA,Female,Athlete,BRA,Brazil,,Bronze,Women,Brazil,2024,Summer
1964083,True,FERREIRA SOUZA Darlan,FERREIRA SOUZA D,DARLAN,Male,Athlete,BRA,Brazil,,,,,2024,Summer
1964085,True,GONCALVES OLIVEIRA JUNIOR Evandro,GONCALVES OLIVEIR,Evandro GONCALVES OLIVEIRA JUNIOR,Male,Athlete,BRA,Brazil,,,,,2024,Summer
1964088,True,SANTOS LISBOA Eduarda,SANTOS LISBOA E,Eduarda SANTOS LISBOA,Female,Athlete,BRA,Brazil,Duda,Gold,Women,Ana Patricia/Duda,2024,Summer
1964089,True,RESENDE GUALBERTO Flavio,RESENDE GUALBERTO,FLAVIO,Male,Athlete,BRA,Brazil,,,,,2024,Summer
1964090,True,GIL KRELING Fernando,GIL KRELING F,FERNANDO,Male,Athlete,BRA,Brazil,"Cachopa (Portuguese for beehive, because of his hair)",,,,2024,Summer
1964094,True,BRAGA GUIMARAES Gabriela,BRAGA GUIMARAES G,GABI,Female,Athlete,BRA,Brazil,Gabi,Bronze,Women,Brazil,2024,Summer
1964100,True,SOUTO MAIOR WANDERLEY George,SOUTO MAIOR WANDE,George SOUTO MAIOR WANDERLEY,Male,Athlete,BRA,Brazil,,,,,2024,Summer
1964102,True,HONORATO Henrique Dantas Nobrega,HONORATO HDN,HONORATO,Male,Alternate Athlete,BRA,Brazil,,,,,2024,Summer
1964104,True,SANTOS Isac,SANTOS I,ISAC,Male,Athlete,BRA,Brazil,Newton,,,,2024,Summer
1964106,True,BERGMANN Julia Isabelle,BERGMANN JI,BERGMANN,Female,Athlete,BRA,Brazil,,Bronze,Women,Brazil,2024,Summer
1964125,True,BERGMANN Lukas Felipe,BERGMANN LF,L. BERGMANN,Male,Athlete,BRA,Brazil,,,,,2024,Summer
1964133,True,SAATKAMP Lucas,SAATKAMP L,LUCAS,Male,Athlete,BRA,Brazil,Lucao,,,,2024,Summer
1964136,True,GERALDO TEIXEIRA Lorenne,GERALDO TEIXEIRA L,LORENNE,Female,Alternate Athlete,BRA,Brazil,,Bronze,Women,Brazil,2024,Summer
1964140,True,SILVA CARNEIRO Macris Fernanda,SILVA CARNEIRO MF,MACRIS,Female,Athlete,BRA,Brazil,Fada Vegana (Portuguese for Vegan Fairy),Bronze,Women,Brazil,2024,Summer
1964151,True,ARAUJO Natalia,ARAUJO N,NATINHA,Female,Athlete,BRA,Brazil,Natinha,Bronze,Women,Brazil,2024,Summer
1964152,True,ALEXANDRE COSTA NUNES Nyeme Victor,ALEXANDRE COSTA N,NYEME,Female,Athlete,BRA,Brazil,Doutora Nyeme,Bronze,Women,Brazil,2024,Summer
1964167,True,MONTIBELLER Rosamaria,MONTIBELLER R,ROSAMARIA,Female,Athlete,BRA,Brazil,,Bronze,Women,Brazil,2024,Summer
1964169,True,RATZKE Roberta Silva,RATZKE RS,ROBERTA,Female,Athlete,BRA,Brazil,,Bronze,Women,Brazil,2024,Summer
1964172,True,SOUZA Ricardo Lucarelli,SOUZA RL,LUCARELLI,Male,Athlete,BRA,Brazil,"Lucao, Luca",,,,2024,Summer
1964178,True,HOSS Thales,HOSS T,THALES,Male,Athlete,BRA,Brazil,,,,,2024,Summer
1964180,True,DAHER de MENEZES Thaisa,DAHER de MENEZES T,THAISA,Female,Athlete,BRA,Brazil,Mama Daher,Bronze,Women,Brazil,2024,Summer
1964183,True,LEMES SANTOS Tainara,LEMES SANTOS T,TAINARA,Female,Athlete,BRA,Brazil,,Bronze,Women,Brazil,2024,Summer
1964196,True,LEAL HIDALGO Yoandy,LEAL HIDALGO Y,LEAL,Male,Athlete,BRA,Brazil,,,,,2024,Summer
1964314,True,MEDJAHED Nesrine,MEDJAHED N,Nesrine MEDJAHED,Female,Athlete,ALG,Algeria,,,,,2024,Summer
1964347,True,SAKOBI Marcelat,SAKOBI M,Marcelat SAKOBI,Female,Athlete,COD,DR Congo,The Queen,,,,2024,Summer
1964497,True,GJURETANOVIKJ Nikola,GJURETANOVIKJ N,Nikola GJURETANOVIKJ,Male,Athlete,MKD,North Macedonia,,,,,2024,Summer
1964498,True,DIONGUE Ndeye Bineta,DIONGUE NB,Ndeye Bineta DIONGUE,Female,Athlete,SEN,Senegal,Binti,,,,2024,Summer
1964500,True,KLIMOVICH Tatsiana,KLIMOVICH T,Tatsiana KLIMOVICH,Female,Athlete,AIN,AIN,,,,,2024,Summer
1964529,True,SCHOLTZ Johanita,SCHOLTZ J,Johanita SCHOLTZ,Female,Athlete,RSA,South Africa,Nita,,,,2024,Summer
1964545,True,LAVIGNE Laurent,LAVIGNE L,Laurent LAVIGNE,Male,Athlete,CAN,Canada,,,,,2024,Summer
1964547,True,VINCENT Katie,VINCENT K,Katie VINCENT,Female,Athlete,CAN,Canada,Kitkat,Gold,Women's Canoe Single 200m,,2024,Summer
